# H1, H2, H3, H4
0.54,0.67,0.77,0.02
0.24,0.38,0.08,0.52
0.71,0.46,0.43,0.94
0.93,0.42,0.12,0.33
0.90,0.19,0.14,0.52
0.33,0.53,0.43,0.91
0.05,0.48,0.03,0.38
0.71,0.64,0.41,0.82
0.37,1.00,0.77,0.69
0.46,0.71,0.51,0.72
0.30,0.69,0.26,0.31
0.51,0.65,0.79,0.37
0.14,0.27,0.99,0.10
0.24,0.20,0.96,0.20
0.70,0.49,0.01,0.54
0.28,0.43,0.14,0.04
0.42,0.55,0.77,0.87
0.80,0.18,0.16,0.73
0.87,0.19,0.98,0.43
0.23,0.03,0.38,0.65
0.71,0.16,0.97,0.25
0.18,0.61,0.81,0.08
0.45,0.94,0.32,0.61
0.33,0.43,0.11,0.24
0.30,0.08,0.05,0.62
0.29,0.76,0.37,0.65
0.81,0.36,0.21,0.15
0.62,0.79,0.80,0.92
0.50,0.03,0.67,0.94
0.85,0.15,0.25,0.72
0.11,0.66,0.47,0.92
0.22,0.11,0.73,0.51
0.45,0.25,0.07,0.67
0.31,0.37,0.38,0.22
0.73,0.65,0.70,0.99
0.11,0.03,0.55,0.94
0.45,0.01,0.16,0.53
0.36,0.21,0.80,0.64
0.25,0.31,0.63,0.55
0.57,0.31,0.87,0.25
0.46,0.12,0.53,0.21
0.37,0.38,0.27,0.60
0.38,0.01,0.29,0.59
0.16,0.70,0.94,0.49
0.95,0.77,0.94,0.92
0.78,0.72,0.99,0.94
0.19,0.44,0.52,0.28
0.62,0.19,0.97,0.55
0.99,0.15,0.42,0.11
0.32,0.69,0.90,0.31
